source_page,source_file,module,rendered_anchor,href,final_destination,http_result,canonical_destination,robots,surface,occurrence_scope,occurrence_count,classification,intent_verdict
/container-office-in-sonipat,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabin Bangalore Price,/portable-cabin-price-in-bangalore,/portable-cabin-price-in-bangalore,200,/portable-cabin-price-in-bangalore,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-sonipat,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabins in Gurgaon,/portable-cabins-in-gurgaon,/portable-cabins-in-gurgaon,200,/portable-cabins-in-gurgaon,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-sonipat,src/components/Footer.tsx,shared footer resources/navigation,Best Portable Cabins in India,/best-portable-cabins-in-india,/best-portable-cabins-in-india,200,/best-portable-cabins-in-india,"index, follow",footer,repeated/sitewide,316,supporting,SPECIALIST_OR_SUPPORTING
/container-office-in-sonipat,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabins in Marathahalli,/porta-cabins-in-marathahalli,/porta-cabins-in-marathahalli,200,/porta-cabins-in-marathahalli,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-sonipat,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabins in Rajajinagar,/porta-cabins-in-rajajinagar,/porta-cabins-in-rajajinagar,200,/porta-cabins-in-rajajinagar,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-sonipat,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin,/product/porta-cabins,/product/porta-cabins,200,/product/porta-cabins,"index, follow",footer,repeated/sitewide,318,hub,BROAD_OWNER
/container-office-in-sri-city,src/components/Header.tsx,shared header navigation,,/portable-cabin-price-calculator,/portable-cabin-price-calculator,200,/portable-cabin-price-calculator,"noindex, follow",header,repeated/sitewide,636,supporting,SPECIALIST_OR_SUPPORTING
/container-office-in-sri-city,src/components/Header.tsx,shared header navigation,,/portable-cabin-price-calculator,/portable-cabin-price-calculator,200,/portable-cabin-price-calculator,"noindex, follow",header,repeated/sitewide,636,supporting,SPECIALIST_OR_SUPPORTING
/container-office-in-sri-city,src/components/Header.tsx,shared header navigation,Porta Cabin,/product/porta-cabins,/product/porta-cabins,200,/product/porta-cabins,"index, follow",header,repeated/sitewide,318,hub,BROAD_OWNER
/container-office-in-sri-city,src/components/Header.tsx,shared header navigation,40×10 Porta Cabin,/container-rent-services/40x10-porta-cabin-rental,/container-rent-services/40x10-porta-cabin-rental,200,/container-rent-services/40x10-porta-cabin-rental,"index, follow",header,repeated/sitewide,318,rental,SPECIALIST_OR_SUPPORTING
/container-office-in-sri-city,src/components/Header.tsx,shared header navigation,30×10 Porta Cabin,/container-rent-services/30x10-porta-cabin-rental,/container-rent-services/30x10-porta-cabin-rental,200,/container-rent-services/30x10-porta-cabin-rental,"index, follow",header,repeated/sitewide,318,rental,SPECIALIST_OR_SUPPORTING
/container-office-in-sri-city,src/components/Header.tsx,shared header navigation,20×10 Porta Cabin,/container-rent-services/20x10-porta-cabin-rental,/container-rent-services/20x10-porta-cabin-rental,200,/container-rent-services/20x10-porta-cabin-rental,"index, follow",header,repeated/sitewide,318,rental,SPECIALIST_OR_SUPPORTING
/container-office-in-sri-city,src/components/Header.tsx,shared header navigation,10×10 Porta Cabin,/container-rent-services/10x10-porta-cabin-rental,/container-rent-services/10x10-porta-cabin-rental,200,/container-rent-services/10x10-porta-cabin-rental,"index, follow",header,repeated/sitewide,318,rental,SPECIALIST_OR_SUPPORTING
/container-office-in-sri-city,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin Price Guide,/porta-cabin-price-a-complete-guide-2025,/porta-cabin-price-a-complete-guide-2025,200,/porta-cabin-price-a-complete-guide-2025,"index, follow",footer,repeated/sitewide,316,guide,INFORMATIONAL_GUIDE
/container-office-in-sri-city,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin in Delhi NCR,/porta-cabins-in-delhi-ncr,/porta-cabins-in-delhi-ncr,200,/porta-cabins-in-delhi-ncr,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-sri-city,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin Sizes India,/porta-cabin-sizes-and-specifications-in-india,/porta-cabin-sizes-and-specifications-in-india,200,/porta-cabin-sizes-and-specifications-in-india,"index, follow",footer,repeated/sitewide,316,supporting,SPECIALIST_OR_SUPPORTING
/container-office-in-sri-city,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin in Noida,/porta-cabin-in-noida,/porta-cabin-in-noida,200,/porta-cabin-in-noida,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-sri-city,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabin Bangalore Price,/portable-cabin-price-in-bangalore,/portable-cabin-price-in-bangalore,200,/portable-cabin-price-in-bangalore,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-sri-city,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabins in Gurgaon,/portable-cabins-in-gurgaon,/portable-cabins-in-gurgaon,200,/portable-cabins-in-gurgaon,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-sri-city,src/components/Footer.tsx,shared footer resources/navigation,Best Portable Cabins in India,/best-portable-cabins-in-india,/best-portable-cabins-in-india,200,/best-portable-cabins-in-india,"index, follow",footer,repeated/sitewide,316,supporting,SPECIALIST_OR_SUPPORTING
/container-office-in-sri-city,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabins in Marathahalli,/porta-cabins-in-marathahalli,/porta-cabins-in-marathahalli,200,/porta-cabins-in-marathahalli,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-sri-city,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabins in Rajajinagar,/porta-cabins-in-rajajinagar,/porta-cabins-in-rajajinagar,200,/porta-cabins-in-rajajinagar,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-sri-city,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin,/product/porta-cabins,/product/porta-cabins,200,/product/porta-cabins,"index, follow",footer,repeated/sitewide,318,hub,BROAD_OWNER
/container-office-in-surat,src/components/Header.tsx,shared header navigation,,/portable-cabin-price-calculator,/portable-cabin-price-calculator,200,/portable-cabin-price-calculator,"noindex, follow",header,repeated/sitewide,636,supporting,SPECIALIST_OR_SUPPORTING
/container-office-in-surat,src/components/Header.tsx,shared header navigation,,/portable-cabin-price-calculator,/portable-cabin-price-calculator,200,/portable-cabin-price-calculator,"noindex, follow",header,repeated/sitewide,636,supporting,SPECIALIST_OR_SUPPORTING
/container-office-in-surat,src/components/Header.tsx,shared header navigation,Porta Cabin,/product/porta-cabins,/product/porta-cabins,200,/product/porta-cabins,"index, follow",header,repeated/sitewide,318,hub,BROAD_OWNER
/container-office-in-surat,src/components/Header.tsx,shared header navigation,40×10 Porta Cabin,/container-rent-services/40x10-porta-cabin-rental,/container-rent-services/40x10-porta-cabin-rental,200,/container-rent-services/40x10-porta-cabin-rental,"index, follow",header,repeated/sitewide,318,rental,SPECIALIST_OR_SUPPORTING
/container-office-in-surat,src/components/Header.tsx,shared header navigation,30×10 Porta Cabin,/container-rent-services/30x10-porta-cabin-rental,/container-rent-services/30x10-porta-cabin-rental,200,/container-rent-services/30x10-porta-cabin-rental,"index, follow",header,repeated/sitewide,318,rental,SPECIALIST_OR_SUPPORTING
/container-office-in-surat,src/components/Header.tsx,shared header navigation,20×10 Porta Cabin,/container-rent-services/20x10-porta-cabin-rental,/container-rent-services/20x10-porta-cabin-rental,200,/container-rent-services/20x10-porta-cabin-rental,"index, follow",header,repeated/sitewide,318,rental,SPECIALIST_OR_SUPPORTING
/container-office-in-surat,src/components/Header.tsx,shared header navigation,10×10 Porta Cabin,/container-rent-services/10x10-porta-cabin-rental,/container-rent-services/10x10-porta-cabin-rental,200,/container-rent-services/10x10-porta-cabin-rental,"index, follow",header,repeated/sitewide,318,rental,SPECIALIST_OR_SUPPORTING
/container-office-in-surat,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin Price Guide,/porta-cabin-price-a-complete-guide-2025,/porta-cabin-price-a-complete-guide-2025,200,/porta-cabin-price-a-complete-guide-2025,"index, follow",footer,repeated/sitewide,316,guide,INFORMATIONAL_GUIDE
/container-office-in-surat,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin in Delhi NCR,/porta-cabins-in-delhi-ncr,/porta-cabins-in-delhi-ncr,200,/porta-cabins-in-delhi-ncr,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-surat,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin Sizes India,/porta-cabin-sizes-and-specifications-in-india,/porta-cabin-sizes-and-specifications-in-india,200,/porta-cabin-sizes-and-specifications-in-india,"index, follow",footer,repeated/sitewide,316,supporting,SPECIALIST_OR_SUPPORTING
/container-office-in-surat,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin in Noida,/porta-cabin-in-noida,/porta-cabin-in-noida,200,/porta-cabin-in-noida,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-surat,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabin Bangalore Price,/portable-cabin-price-in-bangalore,/portable-cabin-price-in-bangalore,200,/portable-cabin-price-in-bangalore,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-surat,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabins in Gurgaon,/portable-cabins-in-gurgaon,/portable-cabins-in-gurgaon,200,/portable-cabins-in-gurgaon,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-surat,src/components/Footer.tsx,shared footer resources/navigation,Best Portable Cabins in India,/best-portable-cabins-in-india,/best-portable-cabins-in-india,200,/best-portable-cabins-in-india,"index, follow",footer,repeated/sitewide,316,supporting,SPECIALIST_OR_SUPPORTING
/container-office-in-surat,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabins in Marathahalli,/porta-cabins-in-marathahalli,/porta-cabins-in-marathahalli,200,/porta-cabins-in-marathahalli,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-surat,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabins in Rajajinagar,/porta-cabins-in-rajajinagar,/porta-cabins-in-rajajinagar,200,/porta-cabins-in-rajajinagar,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-surat,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin,/product/porta-cabins,/product/porta-cabins,200,/product/porta-cabins,"index, follow",footer,repeated/sitewide,318,hub,BROAD_OWNER
/container-office-in-thrissur,src/components/Header.tsx,shared header navigation,,/portable-cabin-price-calculator,/portable-cabin-price-calculator,200,/portable-cabin-price-calculator,"noindex, follow",header,repeated/sitewide,636,supporting,SPECIALIST_OR_SUPPORTING
/container-office-in-thrissur,src/components/Header.tsx,shared header navigation,,/portable-cabin-price-calculator,/portable-cabin-price-calculator,200,/portable-cabin-price-calculator,"noindex, follow",header,repeated/sitewide,636,supporting,SPECIALIST_OR_SUPPORTING
/container-office-in-thrissur,src/components/Header.tsx,shared header navigation,Porta Cabin,/product/porta-cabins,/product/porta-cabins,200,/product/porta-cabins,"index, follow",header,repeated/sitewide,318,hub,BROAD_OWNER
/container-office-in-thrissur,src/components/Header.tsx,shared header navigation,40×10 Porta Cabin,/container-rent-services/40x10-porta-cabin-rental,/container-rent-services/40x10-porta-cabin-rental,200,/container-rent-services/40x10-porta-cabin-rental,"index, follow",header,repeated/sitewide,318,rental,SPECIALIST_OR_SUPPORTING
/container-office-in-thrissur,src/components/Header.tsx,shared header navigation,30×10 Porta Cabin,/container-rent-services/30x10-porta-cabin-rental,/container-rent-services/30x10-porta-cabin-rental,200,/container-rent-services/30x10-porta-cabin-rental,"index, follow",header,repeated/sitewide,318,rental,SPECIALIST_OR_SUPPORTING
/container-office-in-thrissur,src/components/Header.tsx,shared header navigation,20×10 Porta Cabin,/container-rent-services/20x10-porta-cabin-rental,/container-rent-services/20x10-porta-cabin-rental,200,/container-rent-services/20x10-porta-cabin-rental,"index, follow",header,repeated/sitewide,318,rental,SPECIALIST_OR_SUPPORTING
/container-office-in-thrissur,src/components/Header.tsx,shared header navigation,10×10 Porta Cabin,/container-rent-services/10x10-porta-cabin-rental,/container-rent-services/10x10-porta-cabin-rental,200,/container-rent-services/10x10-porta-cabin-rental,"index, follow",header,repeated/sitewide,318,rental,SPECIALIST_OR_SUPPORTING
/container-office-in-thrissur,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin Price Guide,/porta-cabin-price-a-complete-guide-2025,/porta-cabin-price-a-complete-guide-2025,200,/porta-cabin-price-a-complete-guide-2025,"index, follow",footer,repeated/sitewide,316,guide,INFORMATIONAL_GUIDE
/container-office-in-thrissur,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin in Delhi NCR,/porta-cabins-in-delhi-ncr,/porta-cabins-in-delhi-ncr,200,/porta-cabins-in-delhi-ncr,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-thrissur,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin Sizes India,/porta-cabin-sizes-and-specifications-in-india,/porta-cabin-sizes-and-specifications-in-india,200,/porta-cabin-sizes-and-specifications-in-india,"index, follow",footer,repeated/sitewide,316,supporting,SPECIALIST_OR_SUPPORTING
/container-office-in-thrissur,src/components/Footer.tsx,shared footer resources/navigation,Porta Cabin in Noida,/porta-cabin-in-noida,/porta-cabin-in-noida,200,/porta-cabin-in-noida,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-thrissur,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabin Bangalore Price,/portable-cabin-price-in-bangalore,/portable-cabin-price-in-bangalore,200,/portable-cabin-price-in-bangalore,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-thrissur,src/components/Footer.tsx,shared footer resources/navigation,Portable Cabins in Gurgaon,/portable-cabins-in-gurgaon,/portable-cabins-in-gurgaon,200,/portable-cabins-in-gurgaon,"index, follow",footer,repeated/sitewide,316,local,LOCATION_QUALIFIED
/container-office-in-thrissur,src/components/Footer.tsx,shared footer resources/navigation,Best Portable Cabins in India,/best-portable-cabins-in-india,/best-portable-cabins-in-india,200,/best-portable-cabins-in-india,"index, follow",footer,repeated/sitewide,316,supporting,SPECIALIST_OR_SUPPORTING
